series,observations,rmse,mae,dir_hits,dir_total,dir_acc,dm_stat,dm_pvalue
IDR,245,0.0012874261076402781,0.0006721024315240083,139,244,0.569672131147541,2.4695199939791745,0.01352944577077908
KRW,245,0.014064339060793248,0.006456071053495511,163,244,0.6680327868852459,1.3878560607213433,0.1651808799156691
HKD,245,0.023659206146129513,0.011144330828552977,155,244,0.6352459016393442,2.60397280538308,0.00921500682280696
MYR,245,0.03189030788655962,0.017656243478564544,155,244,0.6352459016393442,2.6512173498074056,0.008020221088553159
PLN,245,0.047117052813184714,0.020400887893414515,166,244,0.680327868852459,2.5772385922117538,0.009959317993932792
NZD,245,0.07752252799738248,0.04224937948098543,154,244,0.6311475409836066,0.709356139113482,0.47810349880772374
AUD,245,0.08213410072421007,0.04197749377790456,152,244,0.6229508196721312,1.0649377757062488,0.28690408897202513
CAD,245,0.08842042432623379,0.044680326067333555,157,244,0.6434426229508197,2.3856569466822166,0.017048646080451757
SGD,245,0.10834691574843283,0.05191332807908643,161,244,0.6598360655737705,2.150398062830557,0.03152374144991699
EUR,245,0.1420431528916967,0.06636478154181798,157,244,0.6434426229508197,1.929075800677369,0.05372145270477868
USD,245,0.18318486453937427,0.08580260766953225,156,244,0.639344262295082,2.573354331115746,0.010071803491844111
XDR,245,0.18837068025574258,0.09262753776276243,162,244,0.6639344262295082,1.933694101351022,0.0531507495211061
JPY,245,0.19216718047810044,0.08878356523687729,150,244,0.6147540983606558,2.205666805075973,0.027407337775971596
GBP,245,0.24231392531115412,0.10897269830114079,142,244,0.5819672131147541,1.9736587675493804,0.04842055657045696
PHP,245,0.3299414779956761,0.17113035968808807,158,244,0.6475409836065574,2.189329850504032,0.028572874246115987
TWD,245,0.47388449361280366,0.2358240393539995,158,244,0.6475409836065574,2.143971140919382,0.032035199208694465
THB,245,0.49615590079643507,0.23725093768442052,150,244,0.6147540983606558,1.2725629595116672,0.2031731694795691
I44,245,1.262576152587498,0.6429637980296407,160,244,0.6557377049180327,1.6056281020294776,0.1083556471229179
SEK,245,1.3652378086170622,0.693787484014033,153,244,0.6270491803278688,2.9449193042568313,0.0032303890296478954
