series,observations,rmse,mae,dir_hits,dir_total,dir_acc,dm_stat,dm_pvalue
IDR,310,0.0017316964490490792,0.0008796596793799752,183,309,0.5922330097087378,2.643957321060656,0.008194298755897833
KRW,310,0.015268699096203852,0.00683755989046808,201,309,0.6504854368932039,1.6704192155480915,0.09483645044417655
HKD,310,0.025750144284568746,0.012019309144435475,200,309,0.6472491909385113,2.855479404175532,0.004297190989080768
MYR,310,0.04098044698320308,0.0203387683190759,199,309,0.6440129449838188,2.414593860150415,0.015752763729483865
PLN,310,0.04821885564617575,0.021564856770467745,203,309,0.656957928802589,2.8895184686231494,0.003858323420544263
NZD,310,0.07976938914748942,0.041700942721830676,192,309,0.6213592233009708,1.1946207210710527,0.2322352496697544
AUD,310,0.08999176031275537,0.04532883758375904,193,309,0.6245954692556634,2.0160548088352455,0.04379424486599626
CAD,310,0.10574777976225208,0.050773100049940886,195,309,0.6310679611650486,2.1485374787938674,0.03167108236269711
SGD,310,0.11106536819141895,0.0533844831943339,199,309,0.6440129449838188,2.605893436793426,0.009163496587875075
EUR,310,0.1382689495627929,0.06355903966329557,201,309,0.6504854368932039,2.1804727271521354,0.0292224383148747
JPY,310,0.1966461541646308,0.09046466433015846,193,309,0.6245954692556634,2.4581152966478976,0.013966832613563795
XDR,310,0.1978439393009354,0.09521339640279829,198,309,0.6407766990291263,2.2959815308521025,0.02167693741324861
USD,310,0.20061839046075086,0.09308182344899611,202,309,0.6537216828478964,2.8257992364588307,0.004716281356034191
GBP,310,0.23253748068559593,0.10608460497327489,175,309,0.5663430420711975,2.064817553490983,0.038940266334074325
PHP,310,0.3823664818962528,0.18499509903621447,199,309,0.6440129449838188,2.582573639525611,0.009806643127558745
THB,310,0.48363771999977506,0.2291827524213121,188,309,0.6084142394822006,1.6571840771405901,0.09748226475821609
TWD,310,0.5473498072961709,0.2543499045349282,202,309,0.6537216828478964,2.5152764886493912,0.011893906669406373
I44,310,1.3287283440409312,0.6422563232813919,202,309,0.6537216828478964,2.006936544574211,0.04475642002675162
SEK,310,1.4720329191782258,0.7106396476036217,196,309,0.6343042071197411,3.296441103950496,0.0009791814270476706
