series,observations,rmse,mae,dir_hits,dir_total,dir_acc,dm_stat,dm_pvalue
IDR,103,0.003515497540499015,0.0022331818960250206,65,102,0.6372549019607843,0.15238381157029166,0.8788842244613966
KRW,103,0.018600137188872788,0.015257508534801812,71,102,0.696078431372549,-2.4934833206381843,0.012649652730785999
HKD,103,0.03305084959117145,0.02426212890631107,82,102,0.803921568627451,-2.7681035680287307,0.005638353477955382
MYR,103,0.05725100172921155,0.04179415934997961,76,102,0.7450980392156863,-3.3323718575632837,0.0008610911512469954
PLN,103,0.07331657467980414,0.05223131847026207,65,102,0.6372549019607843,-1.2986264175382904,0.1940721673822008
NZD,103,0.13169597254397122,0.10032871652320083,78,102,0.7647058823529411,-2.4217902468876,0.015444262126047326
AUD,103,0.13846779893585767,0.108271762160239,69,102,0.6764705882352942,-1.461694666534066,0.14382489944160692
SGD,103,0.1417619504663081,0.10322229067396015,82,102,0.803921568627451,-2.7316454977458053,0.006301890834163881
CAD,103,0.14869841211980211,0.11795126513054138,71,102,0.696078431372549,-2.2625836648320683,0.02366136603590885
EUR,103,0.20352615570061452,0.14453269571686417,80,102,0.7843137254901961,-1.6359024018233936,0.10186001524869437
USD,103,0.2586264261735441,0.18987938155229356,83,102,0.8137254901960784,-2.700610796920212,0.006921227948297082
GBP,103,0.2711941611105735,0.20335353651249718,79,102,0.7745098039215687,-3.8632032499966824,0.00011190981940578659
JPY,103,0.27157253189222424,0.18970356313184897,74,102,0.7254901960784313,-2.917973249701952,0.0035231457287325796
XDR,103,0.28251086986055596,0.20531965812050093,79,102,0.7745098039215687,-2.2832270430717885,0.02241699794167129
PHP,103,0.5407688697990782,0.41795482645401133,75,102,0.7352941176470589,-2.2699532091906276,0.0232104221763354
THB,103,0.6944817910581604,0.5239593145421305,77,102,0.7549019607843137,-2.865032565780829,0.004169663589399963
TWD,103,0.7544517435914435,0.575978554167071,71,102,0.696078431372549,-2.8885263053455192,0.0038705165356951454
SEK,103,1.7861831097683214,1.3385475237859088,74,102,0.7254901960784313,-3.342216357946836,0.0008311225009911549
I44,103,2.099705880616365,1.4955655800216414,78,102,0.7647058823529411,-1.85739011406768,0.0632556719464743
